year,type,price
2012,CPI,127.68
2012,birkin,7800
2012,quilted,4400
2013,CPI,129.59
2013,birkin,8250
2013,quilted,4400
2014,CPI,131.67
2014,birkin,8700
2014,quilted,4900
2015,CPI,131.80
2015,birkin,9400
2015,quilted,4900
2016,CPI,133.51
2016,birkin,9400
2016,quilted,4900
2017,CPI,136.32
2017,birkin,9400
2017,quilted,5300
2018,CPI,139.59
2018,birkin,9400
2018,quilted,5600
2019,CPI,142.10
2019,birkin,9850
2019,quilted,5800
2020,CPI,143.81
2020,birkin,9850
2020,quilted,6500
2021,CPI,150.56
2021,birkin,9850
2021,quilted,8800
2022,CPI,162.61
2022,birkin,10100
2022,quilted,8800
2023,CPI,169.28
2023,birkin,10400
2023,quilted,10200
2024,CPI,174.86
2024,birkin,11400
2024,quilted,10200
