,congress_number,state,census,start,end,cd_num,population,percent_white,percent_black,percent_aapi,percent_aind,percent_hisp,percent_white_nh,percent_black_nh,percent_aapi_nh
0,115,NY,2010,2017,2019,1,717707,85.56,4.85,3.4,0.37,12.54,77.92,4.48,3.34
1,115,NY,2010,2017,2019,2,717708,77.16,9.77,2.99,0.35,20.47,66.06,8.93,2.92
2,115,NY,2010,2017,2019,3,717707,78.31,3.12,13.09,0.18,9.73,72.49,2.89,13.03
3,115,NY,2010,2017,2019,4,717708,69.62,14.53,5.55,0.28,17.95,61.06,13.77,5.48
4,115,NY,2010,2017,2019,5,717708,18.88,52.04,11.53,0.9,18.92,12.15,49.78,11.4
5,115,NY,2010,2017,2019,6,717707,48.11,4.12,37.48,0.3,18.15,38.55,3.54,37.28
6,115,NY,2010,2017,2019,7,717708,44.7,11.08,18.51,0.96,43.12,27.8,8.35,18.3
7,115,NY,2010,2017,2019,8,717708,28.22,56.02,4.64,0.57,18.02,22.39,52.55,4.55
8,115,NY,2010,2017,2019,9,717708,33.09,53.6,5.86,0.39,11.27,29.7,50.87,5.79
9,115,NY,2010,2017,2019,10,717707,71.43,4.37,16.65,0.25,12.16,65.31,3.69,16.54
10,115,NY,2010,2017,2019,11,717708,72.04,7.79,11.55,0.34,15.68,64.22,6.88,11.44
11,115,NY,2010,2017,2019,12,717707,74.26,5.29,12.54,0.28,13.33,67.02,4.62,12.44
12,115,NY,2010,2017,2019,13,717707,28.14,32.87,4.17,1.26,55.12,12.23,26.66,3.95
13,115,NY,2010,2017,2019,14,717708,45.01,11.69,15.99,0.9,47.52,24.93,9.45,15.79
14,115,NY,2010,2017,2019,15,717708,21.75,36.99,2.0,1.65,65.28,2.32,28.98,1.74
15,115,NY,2010,2017,2019,16,717707,49.53,32.8,4.66,0.55,23.28,39.32,30.39,4.57
16,115,NY,2010,2017,2019,17,717708,72.95,10.51,5.94,0.34,19.49,63.15,9.69,5.86
17,115,NY,2010,2017,2019,18,717707,79.63,9.22,2.92,0.37,14.82,71.79,8.36,2.86
18,115,NY,2010,2017,2019,19,717708,90.0,4.45,1.4,0.28,6.31,86.33,4.06,1.37
19,115,NY,2010,2017,2019,20,717708,82.06,9.22,3.7,0.26,5.25,79.59,8.59,3.66
20,115,NY,2010,2017,2019,21,717707,93.13,2.86,0.85,0.92,2.67,91.59,2.64,0.83
21,115,NY,2010,2017,2019,22,717708,90.87,3.85,2.17,0.3,3.13,89.23,3.57,2.15
22,115,NY,2010,2017,2019,23,717707,91.73,2.81,1.93,0.62,3.17,89.99,2.61,1.91
23,115,NY,2010,2017,2019,24,717707,85.5,8.1,2.25,0.65,3.66,83.71,7.69,2.23
24,115,NY,2010,2017,2019,25,717707,75.41,15.7,3.38,0.29,7.44,72.04,14.91,3.34
25,115,NY,2010,2017,2019,26,717707,74.1,18.21,3.04,0.58,5.42,71.48,17.65,3.01
26,115,NY,2010,2017,2019,27,717707,94.02,2.41,0.92,0.77,2.19,92.7,2.28,0.91
27,116,NY,2010,2019,2021,1,717707,85.56,4.85,3.4,0.37,12.54,77.92,4.48,3.34
28,116,NY,2010,2019,2021,2,717708,77.16,9.77,2.99,0.35,20.47,66.06,8.93,2.92
29,116,NY,2010,2019,2021,3,717707,78.31,3.12,13.09,0.18,9.73,72.49,2.89,13.03
30,116,NY,2010,2019,2021,4,717708,69.62,14.53,5.55,0.28,17.95,61.06,13.77,5.48
31,116,NY,2010,2019,2021,5,717708,18.88,52.04,11.53,0.9,18.92,12.15,49.78,11.4
32,116,NY,2010,2019,2021,6,717707,48.11,4.12,37.48,0.3,18.15,38.55,3.54,37.28
33,116,NY,2010,2019,2021,7,717708,44.7,11.08,18.51,0.96,43.12,27.8,8.35,18.3
34,116,NY,2010,2019,2021,8,717708,28.22,56.02,4.64,0.57,18.02,22.39,52.55,4.55
35,116,NY,2010,2019,2021,9,717708,33.09,53.6,5.86,0.39,11.27,29.7,50.87,5.79
36,116,NY,2010,2019,2021,10,717707,71.43,4.37,16.65,0.25,12.16,65.31,3.69,16.54
37,116,NY,2010,2019,2021,11,717708,72.04,7.79,11.55,0.34,15.68,64.22,6.88,11.44
38,116,NY,2010,2019,2021,12,717707,74.26,5.29,12.54,0.28,13.33,67.02,4.62,12.44
39,116,NY,2010,2019,2021,13,717707,28.14,32.87,4.17,1.26,55.12,12.23,26.66,3.95
40,116,NY,2010,2019,2021,14,717708,45.01,11.69,15.99,0.9,47.52,24.93,9.45,15.79
41,116,NY,2010,2019,2021,15,717708,21.75,36.99,2.0,1.65,65.28,2.32,28.98,1.74
42,116,NY,2010,2019,2021,16,717707,49.53,32.8,4.66,0.55,23.28,39.32,30.39,4.57
43,116,NY,2010,2019,2021,17,717708,72.95,10.51,5.94,0.34,19.49,63.15,9.69,5.86
44,116,NY,2010,2019,2021,18,717707,79.63,9.22,2.92,0.37,14.82,71.79,8.36,2.86
45,116,NY,2010,2019,2021,19,717708,90.0,4.45,1.4,0.28,6.31,86.33,4.06,1.37
46,116,NY,2010,2019,2021,20,717708,82.06,9.22,3.7,0.26,5.25,79.59,8.59,3.66
47,116,NY,2010,2019,2021,21,717707,93.13,2.86,0.85,0.92,2.67,91.59,2.64,0.83
48,116,NY,2010,2019,2021,22,717708,90.87,3.85,2.17,0.3,3.13,89.23,3.57,2.15
49,116,NY,2010,2019,2021,23,717707,91.73,2.81,1.93,0.62,3.17,89.99,2.61,1.91
50,116,NY,2010,2019,2021,24,717707,85.5,8.1,2.25,0.65,3.66,83.71,7.69,2.23
51,116,NY,2010,2019,2021,25,717707,75.41,15.7,3.38,0.29,7.44,72.04,14.91,3.34
52,116,NY,2010,2019,2021,26,717707,74.1,18.21,3.04,0.58,5.42,71.48,17.65,3.01
53,116,NY,2010,2019,2021,27,717707,94.02,2.41,0.92,0.77,2.19,92.7,2.28,0.91
54,117,NY,2010,2021,2023,1,717707,85.56,4.85,3.4,0.37,12.54,77.92,4.48,3.34
55,117,NY,2010,2021,2023,2,717708,77.16,9.77,2.99,0.35,20.47,66.06,8.93,2.92
56,117,NY,2010,2021,2023,3,717707,78.31,3.12,13.09,0.18,9.73,72.49,2.89,13.03
